PERMNO,date,TICKER,COMNAM,PRC,VOL
14008,06/17/2016,AMGN,AMGEN INC,149.62000,4682336
14008,06/20/2016,AMGN,AMGEN INC,150.64999,3250483
14008,06/21/2016,AMGN,AMGEN INC,149.42000,2622241
14008,06/22/2016,AMGN,AMGEN INC,149.81000,4859791
14008,06/23/2016,AMGN,AMGEN INC,152.27000,3001167
14008,06/24/2016,AMGN,AMGEN INC,146.45000,4919244
14008,06/27/2016,AMGN,AMGEN INC,144.58000,4208811
14008,06/28/2016,AMGN,AMGEN INC,148.42000,4348004
14008,06/29/2016,AMGN,AMGEN INC,150.10001,3771073
14008,06/30/2016,AMGN,AMGEN INC,152.14999,3480735
14593,03/01/2016,AAPL,APPLE INC,100.53000,50430198
14593,03/02/2016,AAPL,APPLE INC,100.75000,33169560
14593,03/03/2016,AAPL,APPLE INC,101.50000,36964242
14593,03/04/2016,AAPL,APPLE INC,103.01000,46115100
14593,03/07/2016,AAPL,APPLE INC,101.87000,35919450
14593,03/08/2016,AAPL,APPLE INC,101.03000,31561889
14593,03/09/2016,AAPL,APPLE INC,101.12000,27201683
14593,03/10/2016,AAPL,APPLE INC,101.17000,33513578
14593,03/11/2016,AAPL,APPLE INC,102.26000,27411247
14593,03/14/2016,AAPL,APPLE INC,102.52000,25076062
14593,03/15/2016,AAPL,APPLE INC,104.58000,40067734
14593,03/16/2016,AAPL,APPLE INC,105.97000,38308093
14593,03/17/2016,AAPL,APPLE INC,105.80000,34420695
14593,03/18/2016,AAPL,APPLE INC,105.92000,44205171
14593,03/21/2016,AAPL,APPLE INC,105.91000,35506183
14593,03/22/2016,AAPL,APPLE INC,106.72000,32484879
14593,03/23/2016,AAPL,APPLE INC,106.13000,25702995
14593,03/24/2016,AAPL,APPLE INC,105.67000,26132955
14593,03/28/2016,AAPL,APPLE INC,105.19000,19411372
14593,03/29/2016,AAPL,APPLE INC,107.68000,31190083
14593,03/30/2016,AAPL,APPLE INC,109.56000,45601224
14593,03/31/2016,AAPL,APPLE INC,108.99000,25892093
14593,04/01/2016,AAPL,APPLE INC,109.99000,25877180
14593,04/04/2016,AAPL,APPLE INC,111.12000,37356204
14593,04/05/2016,AAPL,APPLE INC,109.81000,26874194
14593,04/06/2016,AAPL,APPLE INC,110.96000,26404277
14593,04/07/2016,AAPL,APPLE INC,108.54000,31910679
14593,04/08/2016,AAPL,APPLE INC,108.66000,23581740
14593,04/11/2016,AAPL,APPLE INC,109.02000,29407518
14593,04/12/2016,AAPL,APPLE INC,110.44000,27267325
14593,04/13/2016,AAPL,APPLE INC,112.04000,33257316
14593,04/14/2016,AAPL,APPLE INC,112.10000,25473923
14593,04/15/2016,AAPL,APPLE INC,109.85000,46982969
14593,04/18/2016,AAPL,APPLE INC,107.48000,61131661
14593,04/19/2016,AAPL,APPLE INC,106.91000,32384879
14593,04/20/2016,AAPL,APPLE INC,107.13000,30611053
14593,04/21/2016,AAPL,APPLE INC,105.97000,31818552
14593,04/22/2016,AAPL,APPLE INC,105.68000,33683121
14593,04/25/2016,AAPL,APPLE INC,105.08000,28032388
14593,04/26/2016,AAPL,APPLE INC,104.35000,55988165
14593,04/27/2016,AAPL,APPLE INC,97.82000,114602092
14593,04/28/2016,AAPL,APPLE INC,94.83000,82242743
14593,04/29/2016,AAPL,APPLE INC,93.74000,68714435
14593,05/02/2016,AAPL,APPLE INC,93.64000,48160404
14593,05/03/2016,AAPL,APPLE INC,95.18000,56833777
14593,05/04/2016,AAPL,APPLE INC,94.19000,41026015
14593,05/05/2016,AAPL,APPLE INC,93.24000,35892546
14593,05/06/2016,AAPL,APPLE INC,92.72000,43699936
14593,05/09/2016,AAPL,APPLE INC,92.79000,32936433
14593,05/10/2016,AAPL,APPLE INC,93.42000,33686836
14593,05/11/2016,AAPL,APPLE INC,92.51000,28719187
14593,05/12/2016,AAPL,APPLE INC,90.34000,76315140
14593,05/13/2016,AAPL,APPLE INC,90.52000,44392780
14593,05/16/2016,AAPL,APPLE INC,93.88000,61259756
14593,05/17/2016,AAPL,APPLE INC,93.49000,46916989
14593,05/18/2016,AAPL,APPLE INC,94.56000,42073287
14593,05/19/2016,AAPL,APPLE INC,94.20000,30442100
14593,05/20/2016,AAPL,APPLE INC,95.22000,32026218
14593,05/23/2016,AAPL,APPLE INC,96.43000,38018643
14593,05/24/2016,AAPL,APPLE INC,97.90000,35140174
14593,05/25/2016,AAPL,APPLE INC,99.62000,38642306
14593,05/26/2016,AAPL,APPLE INC,100.41000,56327602
14593,05/27/2016,AAPL,APPLE INC,100.35000,36595204
14593,05/31/2016,AAPL,APPLE INC,99.86000,42307212
14593,06/01/2016,AAPL,APPLE INC,98.46000,29173287
14593,06/02/2016,AAPL,APPLE INC,97.72000,40191600
14593,06/03/2016,AAPL,APPLE INC,97.92000,28504888
14593,06/06/2016,AAPL,APPLE INC,98.63000,23292306
14593,06/07/2016,AAPL,APPLE INC,99.03000,22409450
14593,06/08/2016,AAPL,APPLE INC,98.94000,20848131
14593,06/09/2016,AAPL,APPLE INC,99.65000,26532148
