gvkey,iid,datadate,tic,cshtrd,prccd,gind,sic,,,
1878,1,3/11/2016,ADSK,3418419,56.61,451030,7370,,,
1878,1,3/14/2016,ADSK,2004498,56.7,451030,7370,,,
1878,1,3/15/2016,ADSK,1511331,56.32,451030,7370,,,
1878,1,3/16/2016,ADSK,2281197,56.97,451030,7370,,,
1878,1,3/17/2016,ADSK,1591422,57.06,451030,7370,,,
1878,1,3/18/2016,ADSK,2486468,57.81,451030,7370,,,
1878,1,3/21/2016,ADSK,1384741,58.17,451030,7370,,,
1878,1,3/22/2016,ADSK,1297525,57.98,451030,7370,,,
1878,1,3/23/2016,ADSK,1502499,57.29,451030,7370,,,
1878,1,3/24/2016,ADSK,1152559,57.37,451030,7370,,,
1878,1,3/28/2016,ADSK,1121788,57.11,451030,7370,,,
1878,1,3/29/2016,ADSK,987332,58.23,451030,7370,,,
1878,1,3/30/2016,ADSK,1350635,57.9,451030,7370,,,
1878,1,3/31/2016,ADSK,1365007,58.31,451030,7370,,,
1878,1,4/1/2016,ADSK,3741185,57.77,451030,7370,,,
1878,1,4/4/2016,ADSK,1313980,58.19,451030,7370,,,
1878,1,4/5/2016,ADSK,1138059,57.11,451030,7370,,,
1878,1,4/6/2016,ADSK,1628168,57.78,451030,7370,,,
1878,1,4/7/2016,ADSK,1451304,56.39,451030,7370,,,
1878,1,4/8/2016,ADSK,1161381,56.76,451030,7370,,,
1878,1,4/11/2016,ADSK,1300079,56.87,451030,7370,,,
1878,1,4/12/2016,ADSK,2597849,55.92,451030,7370,,,
1878,1,4/13/2016,ADSK,1562370,57.71,451030,7370,,,
1878,1,4/14/2016,ADSK,990814,58.08,451030,7370,,,
1878,1,4/15/2016,ADSK,1792906,58.42,451030,7370,,,
1878,1,4/18/2016,ADSK,1279133,59.14,451030,7370,,,
1878,1,4/19/2016,ADSK,1159865,59.13,451030,7370,,,
1878,1,4/20/2016,ADSK,1270028,59.39,451030,7370,,,
1878,1,4/21/2016,ADSK,1754987,60.07,451030,7370,,,
1878,1,4/22/2016,ADSK,1012296,59.54,451030,7370,,,
1878,1,4/25/2016,ADSK,1337668,59.99,451030,7370,,,
1878,1,4/26/2016,ADSK,1645171,61.01,451030,7370,,,
1878,1,4/27/2016,ADSK,2429931,61.4,451030,7370,,,
1878,1,4/28/2016,ADSK,2500770,61.39,451030,7370,,,
1878,1,4/29/2016,ADSK,1742752,59.82,451030,7370,,,
1878,1,5/2/2016,ADSK,1318969,61.37,451030,7370,,,
1878,1,5/3/2016,ADSK,1802443,60.34,451030,7370,,,
1878,1,5/4/2016,ADSK,2281710,58.73,451030,7370,,,
1878,1,5/5/2016,ADSK,1475812,58.46,451030,7370,,,
1878,1,5/6/2016,ADSK,2085436,58.66,451030,7370,,,
1878,1,5/9/2016,ADSK,1606702,58.79,451030,7370,,,
1878,1,5/10/2016,ADSK,2507050,59.57,451030,7370,,,
1878,1,5/11/2016,ADSK,1878741,59.03,451030,7370,,,
1878,1,5/12/2016,ADSK,1640466,58.06,451030,7370,,,
1878,1,5/13/2016,ADSK,1561336,57.87,451030,7370,,,
1878,1,5/16/2016,ADSK,2768571,59.08,451030,7370,,,
1878,1,5/17/2016,ADSK,1881451,57.98,451030,7370,,,
1878,1,5/18/2016,ADSK,2455223,57.76,451030,7370,,,
1878,1,5/19/2016,ADSK,2260314,57.52,451030,7370,,,
1878,1,5/20/2016,ADSK,4816156,56.19,451030,7370,,,
1878,1,5/23/2016,ADSK,3313956,56.96,451030,7370,,,
1878,1,5/24/2016,ADSK,1980965,58.46,451030,7370,,,
1878,1,5/25/2016,ADSK,2025519,58.91,451030,7370,,,
1878,1,5/26/2016,ADSK,1461594,58.11,451030,7370,,,
1878,1,5/27/2016,ADSK,1909769,59.34,451030,7370,,,
1878,1,5/31/2016,ADSK,3000493,58.27,451030,7370,,,
1878,1,6/1/2016,ADSK,1506307,58.3,451030,7370,,,
1878,1,6/2/2016,ADSK,1032141,58.76,451030,7370,,,
1878,1,6/3/2016,ADSK,1172759,58.29,451030,7370,,,
1878,1,6/6/2016,ADSK,1606677,58.67,451030,7370,,,
1878,1,6/7/2016,ADSK,1354395,58.68,451030,7370,,,
1878,1,6/8/2016,ADSK,796404,58.53,451030,7370,,,
1878,1,6/9/2016,ADSK,893517,57.79,451030,7370,,,
1878,1,6/10/2016,ADSK,1470975,56.18,451030,7370,,,
1878,1,6/13/2016,ADSK,1333688,55.89,451030,7370,,,
1878,1,6/14/2016,ADSK,1443344,55.71,451030,7370,,,
