"","Name"
"476","VTR"
"477","VZ"
"478","V"
"479","WAT"
"480","WBA"
"481","WDC"
"482","WEC"
"483","WFC"
"484","WHR"
"485","WLTW"
"486","WMB"
"487","WMT"
"488","WM"
"489","WRK"
"490","WU"
"491","WYNN"
"492","WYN"
"493","WY"
"494","XEC"
"495","XEL"
"496","XLNX"
"497","XL"
"498","XOM"
"499","XRAY"
"500","XRX"
"501","XYL"
"502","YUM"
"503","ZBH"
"504","ZION"
"505","ZTS"
